"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","ipaddr","refurl","att","SUCCESS","pause1","Kc[KnAG]","HrKnAGAgr","HrKnAGAgr[other]","HrKnAGDis","HrKnAGDis[other]","HrKnAGHes","HrKnAGHes[other]","HrKnAGAgrOt","HrKnAGDisOt","HrKnAGHesOt","IntChair","M3","M4","PROLIFIC","interviewtime","groupTime48282","attTime","groupTime48281","SUCCESSTime","pause1Time","groupTime48285","KcTime","groupTime48284","HrKnAGAgrTime","HrKnAGDisTime","HrKnAGHesTime","HrKnAGAgrOtTime","HrKnAGDisOtTime","HrKnAGHesOtTime","groupTime48286","IntChairTime","groupTime48283","M3Time","M4Time","PROLIFICTime"
"94","2025-05-13 17:39:38","6","en","2041058661","2025-05-13 17:37:29","2025-05-13 17:39:38","199.160.142.102","","A5","","","A1","","","AGB","","","","","","","A2","4","1","67db1d62899076750f6a1827","131.5","49.31","","8.74","","","28.57","","17.6","","","","","","","9.78","","17.5","","",""
"95","2025-05-13 17:40:34","6","en","1869552406","2025-05-13 17:38:08","2025-05-13 17:40:34","90.214.92.40","","A5","","","A7","AGA","","","","","","","","","A2","3","0","67d44069e586aab3ec859468","147.4","45.7","","8.18","","","45.87","","22.94","","","","","","","8.27","","16.44","","",""
"96","2025-05-13 17:46:05","6","en","179992235","2025-05-13 17:44:06","2025-05-13 17:46:05","86.16.151.214","","A5","","","A5","AGA","","","","","","","","","A2","4","0","6718b63a1e293387ef30d259","120.62","37.14","","2.2","","","18.03","","9.71","","","","","","","5.06","","48.48","","",""
"97","2025-05-13 17:51:06","6","en","162737721","2025-05-13 17:48:42","2025-05-13 17:51:06","64.84.105.11","","A5","","","A6","AGA","","","","","","","","","A2","4","1","67d3655c75384fd3ef38390b","147","57.73","","4.82","","","25.2","","32.2","","","","","","","13.74","","13.31","","",""
"98","2025-05-13 17:51:14","6","en","1851123856","2025-05-13 17:49:22","2025-05-13 17:51:14","82.10.178.61","","A5","","","A2","","","AGR","","","","","","","A2","2","0","5e356b29d87fbf512a4cd090","114.38","28.32","","4.75","","","33.2","","27.72","","","","","","","6.67","","13.72","","",""
"99","2025-05-13 17:53:18","6","en","2126628871","2025-05-13 17:49:43","2025-05-13 17:53:18","151.229.244.198","","A5","","","A2","","","-oth-","","","","","The CEO was told that the program would help the environment however he explicitly states that he did not care","","A2","4","0","59bb884a3c45a10001ccc4f7","217.92","41.73","","3.76","","","10.68","","140.93","","","","","","","10.98","","9.84","","",""
"100","2025-05-13 17:54:26","6","en","959637758","2025-05-13 17:50:19","2025-05-13 17:54:26","90.209.197.250","","A5","","","A6","AGR","","","","","","","","","A2","4","0","65dc99d0191a135ab835bf69","250.18","26.24","","3.48","","","30.52","","14.92","","","","","","","8.32","","166.7","","",""
"101","2025-05-13 17:53:04","6","en","972105018","2025-05-13 17:50:31","2025-05-13 17:53:04","174.62.229.26","https://app.prolific.com/","A5","","","A4","","","","","AGB","","","","","A2","3","0","5d6376ec7e447f001c971315","155.54","48.15","","6.92","","","37.6","","39.26","","","","","","","10.03","","13.58","","",""
"102","2025-05-13 17:52:15","6","en","1907151081","2025-05-13 17:50:36","2025-05-13 17:52:15","76.18.211.189","","A5","","","A1","","","AGR","","","","","","","A2","5","0","5bd9dc9abf1a7800011db1f1","101.4","35.59","","3.79","","","25.61","","18.95","","","","","","","5.84","","11.62","","",""
"103","2025-05-13 17:57:49","6","en","1783172732","2025-05-13 17:55:54","2025-05-13 17:57:49","174.203.96.59","","A5","","","A1","","","-oth-","","","","","The CEO didn't care if he helped the environment","","A2","4","0","66af6d1fbf57849a8134c7c8","116.68","25.02","","3.28","","","24.47","","36.58","","","","","","","5.21","","22.12","","",""
"104","2025-05-13 17:59:07","6","en","477710551","2025-05-13 17:56:40","2025-05-13 17:59:07","85.255.232.133","https://app.prolific.com/","A5","","","A7","AGA","","","","","","","","","A2","4","0","5996d2256b939900012d9f22","149.13","80.33","","8.56","","","16.3","","32.98","","","","","","","4.05","","6.91","","",""
